"collection_date_m_dd_yyyy","sample_year","plot","climate","management","treatment","species","individual","number_of_seeds"
"5/2/2018",2018,"1_1","ambient","mowing","ambient_mowing","Bro_ere",1,50
"5/2/2018",2018,"1_1","ambient","mowing","ambient_mowing","Bro_ere",2,82
"5/2/2018",2018,"1_3","ambient","grazing","ambient_grazing","Bro_ere",1,124
"5/2/2018",2018,"1_3","ambient","grazing","ambient_grazing","Bro_ere",2,114
"5/2/2018",2018,"10_1","ambient","grazing","ambient_grazing","Bro_ere",3,42
"5/2/2018",2018,"10_1","ambient","grazing","ambient_grazing","Bro_ere",1,114
"5/2/2018",2018,"10_1","ambient","grazing","ambient_grazing","Bro_ere",2,94
"5/2/2018",2018,"10_2","ambient","mowing","ambient_mowing","Bro_ere",1,70
"5/2/2018",2018,"10_2","ambient","mowing","ambient_mowing","Bro_ere",2,129
"5/2/2018",2018,"2_2","future","grazing","future_grazing","Bro_ere",3,96
"5/2/2018",2018,"2_2","future","grazing","future_grazing","Bro_ere",2,128
"5/2/2018",2018,"2_2","future","grazing","future_grazing","Bro_ere",1,114
"5/2/2018",2018,"2_5","future","mowing","future_mowing","Bro_ere",2,50
"5/2/2018",2018,"2_5","future","mowing","future_mowing","Bro_ere",1,60
"5/2/2018",2018,"3_4","ambient","mowing","ambient_mowing","Bro_ere",1,49
"5/2/2018",2018,"3_4","ambient","mowing","ambient_mowing","Bro_ere",2,63
"5/2/2018",2018,"4_4","future","mowing","future_mowing","Bro_ere",1,74
"5/2/2018",2018,"4_4","future","mowing","future_mowing","Bro_ere",2,115
"5/2/2018",2018,"5_5","ambient","mowing","ambient_mowing","Bro_ere",1,78
"5/2/2018",2018,"5_5","ambient","mowing","ambient_mowing","Bro_ere",2,55
"5/2/2018",2018,"6_1","future","grazing","future_grazing","Bro_ere",2,105
"5/2/2018",2018,"6_1","future","grazing","future_grazing","Bro_ere",1,91
"5/2/2018",2018,"6_1","future","grazing","future_grazing","Bro_ere",3,114
"5/2/2018",2018,"6_3","future","mowing","future_mowing","Bro_ere",1,129
"5/2/2018",2018,"6_3","future","mowing","future_mowing","Bro_ere",2,62
"5/2/2018",2018,"7_2","future","mowing","future_mowing","Bro_ere",1,127
"5/2/2018",2018,"7_2","future","mowing","future_mowing","Bro_ere",2,45
"5/2/2018",2018,"7_3","future","grazing","future_grazing","Bro_ere",2,83
"5/2/2018",2018,"7_3","future","grazing","future_grazing","Bro_ere",1,127
"5/2/2018",2018,"7_3","future","grazing","future_grazing","Bro_ere",3,118
"5/2/2018",2018,"8_2","ambient","grazing","ambient_grazing","Bro_ere",3,62
"5/2/2018",2018,"8_2","ambient","grazing","ambient_grazing","Bro_ere",1,66
"5/2/2018",2018,"8_2","ambient","grazing","ambient_grazing","Bro_ere",2,103
"5/2/2018",2018,"8_3","ambient","mowing","ambient_mowing","Bro_ere",2,49
"5/2/2018",2018,"8_3","ambient","mowing","ambient_mowing","Bro_ere",1,64
"5/2/2018",2018,"9_1","future","mowing","future_mowing","Bro_ere",2,74
"5/2/2018",2018,"9_1","future","mowing","future_mowing","Bro_ere",1,76
"5/2/2018",2018,"9_4","future","grazing","future_grazing","Bro_ere",1,121
"5/2/2018",2018,"9_4","future","grazing","future_grazing","Bro_ere",3,51
"5/2/2018",2018,"9_4","future","grazing","future_grazing","Bro_ere",2,92
